2024-06-27 19:50:57 - Solicitud a  por el usuario con ID: 5 - admin - socio
2024-06-27 19:52:29 - Solicitud a /2024C1/TP/app/usuarios/buscar/admin por el usuario con ID: 5 - admin - socio
2024-06-27 20:02:35 - Solicitud a /2024C1/TP/app/usuarios/buscar por el usuario con ID: 5 - admin - socio
2024-06-27 20:05:57 - Solicitud a /2024C1/TP/app/usuarios/buscar por el usuario con ID: 5 - admin - socio
2024-06-27 20:10:40 - Solicitud a /2024C1/TP/app/usuarios/buscar por el usuario con ID: 5 - admin - socio
2024-06-27 21:14:45 - Solicitud a /2024C1/TP/app/pedidos por el usuario con ID: 1 - barriabal - mozo
2024-06-27 21:49:10 - Solicitud a /2024C1/TP/app/pedidos por el usuario con ID: 1 - barriabal - mozo
2024-06-27 21:55:06 - Solicitud a /2024C1/TP/app/itemspedidos/ por el usuario con ID: 1 - barriabal - mozo
2024-06-27 22:15:31 - Solicitud a /2024C1/TP/app/itemspedidos/ por el usuario con ID: 1 - barriabal - mozo
2024-06-27 22:15:34 - Solicitud a /2024C1/TP/app/itemspedidos/ por el usuario con ID: 1 - barriabal - mozo
2024-06-27 22:15:36 - Solicitud a /2024C1/TP/app/itemspedidos/ por el usuario con ID: 1 - barriabal - mozo
2024-06-27 22:15:49 - Solicitud a /2024C1/TP/app/itemspedidos/ por el usuario con ID: 1 - barriabal - mozo
2024-06-27 22:25:29 - Solicitud a /2024C1/TP/app/usuarios/pendientes por el usuario con ID: 6 - quiquique - bartender
2024-06-27 22:26:21 - Solicitud a /2024C1/TP/app/usuarios/pendientes por el usuario con ID: 7 - juancito - cervecero
2024-06-27 22:26:25 - Solicitud a /2024C1/TP/app/usuarios/pendientes por el usuario con ID: 2 - barri - cocinero
2024-06-27 22:28:24 - Solicitud a /2024C1/TP/app/usuarios/pendientes por el usuario con ID: 2 - barri - cocinero
2024-06-27 22:29:44 - Solicitud a /2024C1/TP/app/usuarios/pendientes por el usuario con ID: 2 - barri - cocinero
2024-06-27 22:34:08 - Solicitud a /2024C1/TP/app/usuarios/pendientes por el usuario con ID: 2 - barri - cocinero
